Outlet_ID,Cuisine_Type,Location_Type,Average_Daily_Customers,Average_Bill_Value,Delivery_Order_Percentage,Seating_Capacity,Employee_Count,Promotion_Spend,Customer_Rating,Monthly_Revenue
43,South Indian,Standalone,413.6,1210.65,93.93,148.6,13,48209.49,2.7,350456.48
44,South Indian,High Street,452.5,238.53,31.83,73.8,28,45235.11,1.21,219546.57
45,North Indian,Mall,71.1,432.23,45.42,15.2,21,79330.98,3.15,147990.27
46,Continental,Airport,278.0,494.56,13.69,52.3,9,1297.67,3.63,169501.31
47,Fast Food,High Street,385.1,620.83,71.04,127.3,12,10389.14,3.24,256245.26
48,Continental,Airport,150.6,425.72,72.46,70.4,28,82828.3,4.63,195374.67
49,Fast Food,Airport,109.3,1217.65,26.15,81.1,6,44681.03,4.27,243972.72
50,North Indian,Mall,241.7,552.38,71.22,143.2,21,82271.62,4.39,232951.64
51,South Indian,Food Court,78.7,898.07,68.84,54.5,28,6117.99,4.99,190071.68
52,South Indian,Food Court,53.9,1481.54,42.44,130.9,33,49247.06,1.23,282682.58
53,Continental,High Street,267.6,169.6,5.76,146.2,28,49247.06,4.76,169217.4
54,North Indian,Mall,184.1,835.75,53.88,129.0,21,57277.65,1.06,238046.69
55,North Indian,Standalone,60.8,1412.46,13.78,127.5,36,87120.1,1.97,298762.02
56,Fast Food,Airport,255.0,1070.41,63.77,149.7,38,59319.18,4.34,282281.06
57,Continental,Food Court,429.9,1075.56,39.48,13.8,30,85993.87,1.35,359898.49
58,Chinese,Food Court,250.5,1248.1,98.0,19.6,11,86596.6,2.55,320988.42
59,Fast Food,Mall,454.7,742.71,38.2,31.1,9,91118.36,3.74,314437.0
60,Continental,Standalone,150.4,1057.27,50.03,126.8,13,25361.21,1.32,247447.66
61,South Indian,Food Court,267.6,216.36,49.21,112.8,38,35360.65,2.29,174128.49
62,Italian,High Street,343.6,835.75,88.17,124.7,12,35675.67,3.6,273296.12
63,South Indian,Mall,201.1,1130.92,36.58,116.6,37,34547.42,1.01,238463.77
64,North Indian,Standalone,323.5,1047.91,22.24,100.6,23,85970.39,4.61,328930.16
65,Continental,Standalone,56.5,969.22,2.22,65.9,14,58482.0,4.43,224497.77
66,Italian,Food Court,136.9,827.48,82.23,114.7,16,26771.03,1.41,224110.55
67,North Indian,Standalone,55.6,563.64,24.53,111.7,32,4537.14,4.15,136805.46
68,Fast Food,Mall,458.6,672.7,95.01,24.9,29,3503.17,4.49,271666.47
69,Continental,Airport,392.8,835.75,0.83,139.3,24,99448.35,3.89,328956.55
70,Continental,Mall,336.2,505.87,65.76,146.8,27,85232.87,3.73,248741.48
71,North Indian,Mall,107.3,1368.88,42.34,150.0,20,25564.37,5.0,295023.53
72,Continental,Airport,62.2,616.21,6.59,120.6,6,1148.18,2.96,134738.39
73,Italian,High Street,173.4,355.44,9.42,36.2,31,19503.95,2.37,137330.4
74,Fast Food,Standalone,313.3,1199.23,33.58,115.4,9,48283.49,2.55,364980.43
75,South Indian,High Street,132.2,679.2,49.92,105.2,4,59102.4,2.49,200997.23
76,Fast Food,High Street,68.4,835.75,89.99,28.3,17,68042.16,1.43,203125.72
77,Italian,Airport,144.6,338.05,51.78,124.1,36,66623.49,3.37,165712.51
78,North Indian,Mall,279.3,833.72,0.43,25.2,19,16137.34,2.79,217051.69
79,Chinese,Standalone,116.3,208.28,70.79,113.7,28,53182.14,3.15,128154.16
80,Chinese,High Street,91.6,533.24,48.1,133.9,29,34112.23,3.59,159819.85
81,Chinese,Mall,267.6,1142.84,78.97,90.1,36,59487.7,3.78,314817.91
82,North Indian,Food Court,233.6,432.58,31.0,80.9,30,76718.46,2.96,202336.91
83,Italian,High Street,164.0,176.63,99.19,70.3,23,12744.31,2.26,115614.77
84,Continental,High Street,217.2,349.88,8.85,149.6,32,31023.79,2.05,167662.39
85,South Indian,Food Court,460.3,942.63,55.58,102.2,17,9947.21,2.72,315486.47
86,Fast Food,Food Court,230.7,1490.24,5.0,106.4,29,26406.71,1.93,328587.76
87,Fast Food,Airport,142.7,1130.77,40.46,130.7,17,87820.67,2.59,282732.51
88,North Indian,Standalone,477.9,1446.77,11.83,38.0,24,1754.76,3.5,382952.87
89,Continental,Airport,327.3,1457.66,48.93,148.8,12,4126.68,2.07,364524.04
90,Chinese,Mall,212.2,255.74,4.41,95.5,15,69543.05,2.5,150639.67
91,Italian,High Street,427.3,643.99,98.36,104.2,13,13749.34,3.92,267028.76
92,Continental,Food Court,205.5,1128.66,83.26,110.1,19,80641.67,3.51,306524.63
93,South Indian,Airport,109.1,1476.62,40.0,132.1,18,39303.88,1.35,283889.54
94,North Indian,Mall,294.3,420.85,6.94,148.4,9,88641.64,2.66,212121.62
95,North Indian,Mall,105.0,875.06,29.25,141.0,19,44644.53,1.98,209118.12
96,South Indian,Mall,128.3,1125.96,31.75,72.6,30,5684.2,1.83,243189.72
97,North Indian,Mall,284.8,275.69,43.8,26.5,9,71458.35,1.16,180398.7
98,South Indian,Standalone,493.3,904.59,42.97,24.3,23,24218.07,4.85,324666.59
99,Continental,Food Court,414.7,1464.04,15.09,29.1,9,96283.66,2.97,416822.56
100,Continental,Food Court,101.0,1134.85,64.35,111.2,19,92738.74,1.53,277465.7
101,Chinese,High Street,144.9,1196.15,97.47,91.3,15,95627.16,1.42,309578.7
102,South Indian,Mall,491.5,714.48,11.64,81.0,16,6600.64,1.16,273458.89
103,Continental,Mall,176.6,1408.92,63.3,23.8,10,9759.75,1.81,293153.8
104,Chinese,Food Court,267.6,962.47,43.47,124.3,36,66111.32,3.73,288377.35
105,North Indian,High Street,338.9,248.96,27.61,137.4,37,74752.83,1.75,183929.24
106,Chinese,Mall,309.7,719.1,67.21,26.9,36,85205.17,1.74,270711.81
107,Chinese,Airport,169.8,1457.08,99.36,54.9,15,67145.08,3.42,357455.98
108,South Indian,Airport,296.3,1069.42,86.12,23.5,11,26378.44,2.57,302071.32
109,Chinese,Mall,261.3,956.78,35.58,89.9,4,70911.04,1.22,286151.6
110,Continental,Mall,113.3,1041.52,4.45,11.4,23,18759.78,3.84,223442.37
111,Italian,High Street,132.5,1073.84,65.65,57.5,26,81562.1,4.61,277083.59
112,South Indian,Airport,334.5,862.54,55.68,92.8,15,33634.01,4.71,281970.48
113,Italian,High Street,313.4,611.12,45.17,144.9,40,40145.38,2.49,236933.29
114,Chinese,Mall,157.8,593.85,18.29,34.0,13,10291.17,1.03,151685.13
115,South Indian,Standalone,434.0,717.45,50.0,118.7,21,44995.38,3.4,301965.86
116,Continental,Mall,77.0,364.86,48.07,74.6,19,16477.28,4.81,124221.47
117,Fast Food,High Street,187.7,292.29,66.65,105.7,11,79751.46,2.13,169840.98
118,Continental,Mall,375.1,1209.38,49.92,72.1,9,57003.78,2.96,342521.32
119,North Indian,Airport,494.0,212.64,50.79,39.3,36,93188.33,2.49,254764.6
120,South Indian,High Street,126.8,1311.1,33.45,68.5,11,13767.03,3.86,272111.34
121,Fast Food,Mall,228.6,1077.27,2.56,86.0,29,99448.35,4.42,284767.42
122,North Indian,High Street,386.3,753.14,38.28,62.6,5,42603.62,2.45,240493.59
123,Fast Food,High Street,149.3,821.22,42.08,68.9,8,50807.37,4.3,214893.18
124,South Indian,Airport,112.0,1013.94,35.64,114.6,16,32460.32,1.01,217624.7
125,Italian,Standalone,170.4,808.42,31.87,114.1,28,49814.72,4.85,227704.25
126,North Indian,Standalone,183.0,166.98,59.65,47.6,22,92679.25,3.13,153855.28
127,Continental,Mall,446.1,1357.71,74.24,13.1,14,32332.01,2.06,369499.66
128,Continental,Standalone,196.6,696.56,68.69,110.5,9,81979.31,4.99,258031.22
129,Chinese,Mall,192.5,509.25,42.88,71.1,4,35379.6,1.4,173000.35
130,Fast Food,Standalone,73.7,274.67,63.96,96.5,24,13985.45,4.52,109087.65
131,Continental,Food Court,123.2,1250.91,49.57,99.9,32,17239.29,2.31,272080.85
132,Italian,High Street,315.3,1387.9,60.41,50.9,25,23945.48,2.96,330593.21
133,Continental,Food Court,101.4,1102.64,76.69,137.0,37,73278.6,2.33,284674.59
134,Chinese,Standalone,267.6,901.96,6.52,110.1,38,85723.99,3.39,286230.76
135,South Indian,High Street,56.1,959.6,12.45,69.6,8,67476.08,2.38,217620.84
136,North Indian,Airport,282.1,835.75,90.61,97.0,23,1148.18,2.96,240285.24
137,Continental,High Street,325.2,253.01,46.45,103.5,22,60220.85,3.47,185299.24
138,Fast Food,Airport,107.4,252.1,72.51,105.1,28,6078.18,4.87,118964.02
139,Fast Food,Food Court,104.3,932.5,53.86,71.7,13,25282.94,2.66,213269.19
140,Italian,Airport,55.0,1368.82,72.16,69.1,26,22419.07,4.56,257954.53
141,North Indian,Airport,281.2,170.85,63.3,87.5,18,19252.16,3.27,145550.7
142,South Indian,Airport,268.6,851.57,80.6,86.4,38,68852.44,1.13,290273.1
143,Fast Food,Airport,456.3,676.52,1.57,28.4,5,14499.2,4.93,247534.36
144,North Indian,High Street,124.7,413.73,49.92,127.4,14,88866.86,4.98,190741.79
145,North Indian,Food Court,251.4,398.7,81.25,30.8,23,90497.98,2.42,203629.97
146,South Indian,Food Court,190.3,1007.83,0.84,110.7,17,40612.38,1.75,252416.47
147,Italian,High Street,392.2,187.09,92.72,32.4,15,97803.44,2.47,221978.26
148,Chinese,Standalone,300.4,675.85,39.47,63.6,14,49247.06,4.87,249500.72
149,North Indian,Food Court,140.3,1214.34,17.95,90.9,21,53690.8,2.44,269272.04
150,Chinese,Mall,68.1,448.96,68.74,76.7,16,83673.76,3.73,161547.9
151,Italian,High Street,312.5,276.89,44.29,88.4,35,54265.41,4.2,197652.99
152,Chinese,Airport,395.6,604.13,42.48,20.2,34,32733.36,2.02,240049.9
153,Fast Food,Mall,103.1,897.21,8.43,63.4,3,74974.64,1.76,220541.89
154,Chinese,Food Court,426.7,1009.18,3.48,132.3,11,48596.96,1.23,316229.37
155,South Indian,Standalone,188.1,484.21,56.38,59.3,20,49247.06,4.47,182730.54
156,North Indian,Airport,149.0,1489.06,61.35,107.4,38,80557.35,1.96,332823.46
157,Fast Food,Food Court,196.1,1104.07,8.67,53.5,28,60944.64,1.28,241328.55
158,Chinese,Standalone,232.3,1224.31,96.2,120.9,9,34197.9,3.15,307634.13
159,Chinese,Airport,248.3,562.33,47.03,32.3,25,71025.36,1.16,233631.66
160,South Indian,Mall,474.8,378.72,10.69,61.3,25,16408.33,1.37,232567.24
161,Italian,Standalone,182.4,440.94,16.03,80.3,32,85719.76,4.02,190859.46
162,North Indian,Standalone,460.7,322.22,63.26,110.8,15,40400.66,1.08,233735.15
163,Continental,Food Court,235.7,1326.53,23.01,106.0,40,72655.99,3.67,338884.05
164,North Indian,Standalone,456.2,839.42,49.92,59.0,33,79655.36,4.61,343438.48
165,North Indian,Mall,267.6,292.05,29.89,129.1,39,1149.8,4.09,155415.73
166,Fast Food,Standalone,255.5,1003.84,99.7,81.0,26,66691.9,2.11,314910.85
167,Italian,Airport,319.8,1185.83,74.82,11.1,31,17650.12,2.34,319249.17
168,Fast Food,Mall,343.4,951.43,94.42,57.2,8,86814.66,1.38,326221.53
169,North Indian,Mall,438.3,215.56,4.47,33.6,23,6480.98,2.97,185481.27
170,Chinese,Standalone,186.1,239.74,92.94,135.4,12,37195.5,2.53,150700.27
171,Chinese,Food Court,107.9,485.78,6.16,26.1,15,81547.22,1.48,161150.52
172,South Indian,Standalone,100.0,1447.87,89.45,103.8,16,37115.3,4.45,312417.39
173,Italian,Mall,326.4,1436.11,25.02,81.7,18,51924.92,1.19,354233.17
174,Continental,Mall,442.9,1097.91,48.36,53.2,31,66302.34,1.76,349899.38
175,South Indian,High Street,421.2,844.8,3.45,68.9,15,3014.38,1.34,269770.96
176,Fast Food,Mall,175.8,701.87,65.71,71.1,24,65249.94,2.18,232734.66
177,Fast Food,High Street,438.6,574.99,91.44,94.5,14,22145.19,3.73,253069.5
178,South Indian,High Street,347.8,1383.15,33.47,115.7,8,43377.11,3.74,341240.52
179,Fast Food,Mall,360.4,1354.41,76.35,42.3,14,94734.49,4.73,394249.17
180,Continental,Airport,238.3,1180.47,42.46,73.3,29,3116.24,3.63,280918.02
181,Fast Food,High Street,140.9,1290.1,95.66,29.7,33,69339.12,2.96,308684.29
182,North Indian,Mall,412.3,464.61,82.12,119.9,35,82931.75,4.89,284009.7
183,North Indian,Airport,288.4,359.26,5.57,136.6,16,46074.81,1.13,182483.6
184,North Indian,Standalone,388.3,861.88,10.76,88.8,36,60676.78,1.77,320911.36
185,North Indian,Mall,425.6,1052.71,41.67,99.0,23,78372.24,2.84,334486.83
186,South Indian,Mall,324.6,1068.32,82.95,120.1,8,85901.82,3.9,326846.58
187,Fast Food,Airport,193.4,286.72,3.94,83.6,4,82101.13,3.84,159141.37
188,Chinese,High Street,366.8,1491.33,40.77,119.5,28,53551.78,4.26,369383.48
189,South Indian,Food Court,419.5,1380.71,12.73,56.1,38,10649.63,4.81,362947.8
190,South Indian,Standalone,479.3,1403.25,63.1,81.0,39,34028.82,2.6,430517.16
191,South Indian,Airport,83.6,173.34,52.08,125.1,29,47660.72,1.79,108739.68
192,North Indian,Mall,193.8,1295.45,23.88,60.5,31,82509.15,1.13,318027.23
193,Italian,Food Court,387.5,835.75,83.27,22.2,22,37781.83,3.3,273843.48
194,North Indian,Airport,78.4,990.13,19.22,79.2,6,5315.41,4.53,191840.49
195,Italian,High Street,454.0,908.63,75.94,103.0,8,4109.93,1.64,301104.1
196,Fast Food,High Street,305.8,835.47,99.89,37.9,29,46199.83,2.51,272952.96
197,Italian,Mall,425.9,948.32,69.39,96.2,10,2471.44,1.03,316389.74
198,Fast Food,Food Court,388.2,1027.44,16.82,41.2,27,1637.69,1.97,297311.03
199,North Indian,High Street,452.0,188.57,72.78,63.6,7,70457.86,3.84,217284.59
200,South Indian,Airport,192.8,1102.77,7.41,81.0,27,33629.65,1.62,262560.71
201,Continental,Food Court,459.9,1285.49,68.97,82.0,25,46069.9,1.34,392964.66
202,Italian,High Street,263.3,966.48,49.92,36.1,27,12579.7,2.96,265782.0
203,Chinese,Food Court,382.3,691.19,99.18,26.6,21,51727.54,3.94,294557.95
204,South Indian,Airport,441.5,403.7,54.12,81.0,29,7676.67,4.43,220586.03
205,North Indian,Mall,149.7,493.94,1.01,18.3,32,33044.77,3.51,147363.37
206,Fast Food,Standalone,354.2,1013.05,51.35,53.5,36,9297.8,1.1,278690.29
207,Italian,Airport,348.8,876.19,76.9,14.0,26,6043.07,3.3,266953.96
208,Fast Food,Standalone,440.2,487.61,49.92,103.9,28,46851.62,1.31,263840.12
209,South Indian,Airport,379.2,477.98,88.76,105.7,22,78460.41,4.23,274903.53
210,Italian,Food Court,499.1,568.13,90.59,73.8,38,31680.51,4.98,295001.64
211,North Indian,Airport,461.6,682.55,17.24,84.7,20,46414.18,3.33,283877.78
212,Italian,Standalone,398.1,350.89,49.92,66.6,18,49247.06,1.97,223246.42
213,North Indian,Airport,371.6,599.19,63.05,106.0,13,88305.77,1.77,265608.43
214,Continental,Mall,408.8,1131.42,41.91,143.1,32,49247.06,3.5,380225.43
215,South Indian,Food Court,426.8,465.8,5.0,91.8,38,39279.99,1.48,223105.6
216,Italian,High Street,207.3,817.92,77.14,145.7,5,51243.87,1.2,245715.07
217,South Indian,High Street,61.1,267.11,70.44,129.8,21,46830.55,4.01,131173.93
218,South Indian,Food Court,436.5,321.06,96.17,15.4,12,74430.5,2.37,244913.05
219,North Indian,Standalone,406.1,1443.18,49.35,32.5,33,34222.64,4.85,383330.6
220,Italian,Mall,72.8,1279.59,68.82,90.3,8,50480.2,4.86,268938.79
221,South Indian,Airport,185.7,1078.68,14.98,35.0,32,14114.18,2.09,241351.6
222,North Indian,High Street,230.8,862.58,95.44,146.5,9,49239.51,3.35,281037.05
223,North Indian,Standalone,207.6,1384.5,21.13,27.7,33,78509.8,3.41,307921.03
224,Chinese,Food Court,441.4,835.75,33.36,97.5,37,14847.38,3.67,315300.24
225,Italian,Mall,300.8,574.69,30.08,45.4,12,40034.45,2.11,203466.73
226,Continental,Airport,117.8,720.65,64.39,81.0,20,69738.76,3.0,208329.07
227,Italian,Standalone,112.7,1174.5,74.42,19.1,19,38046.42,4.88,254785.65
228,Continental,Airport,312.5,649.02,51.94,134.0,29,56994.47,3.95,264299.44
229,South Indian,Standalone,420.6,1134.71,24.01,123.9,28,51738.2,1.41,322564.08
230,North Indian,Airport,104.6,544.76,51.92,134.5,39,49247.06,1.24,177204.87
231,Continental,Food Court,364.9,1490.04,35.64,129.4,8,23109.65,1.36,403631.56
232,Continental,Mall,371.2,1420.53,17.49,106.4,33,26234.82,3.09,346134.91
233,South Indian,Airport,479.3,316.43,27.14,127.3,38,84294.06,2.7,268559.24
234,Chinese,Airport,473.1,1388.76,38.51,61.2,6,32464.74,4.09,379690.65
235,North Indian,Airport,373.2,700.75,28.68,57.4,11,58798.73,2.94,270427.16
236,Chinese,Food Court,418.8,649.9,18.86,97.7,4,10133.55,1.26,245462.51
237,Italian,Food Court,67.1,840.5,93.55,62.5,12,94832.66,3.47,223300.34
238,South Indian,Food Court,359.2,1497.6,43.3,19.1,38,71003.56,2.23,398268.59
239,Fast Food,Airport,426.8,699.55,35.99,127.0,9,86014.73,2.53,326661.75
240,North Indian,Standalone,199.4,709.08,51.2,71.3,8,74983.93,3.24,228054.25
241,North Indian,Standalone,278.3,1270.05,21.06,79.2,14,56552.35,1.27,331703.18
242,North Indian,Airport,146.8,553.99,14.77,128.3,5,59050.98,1.99,166400.41
243,North Indian,Airport,80.3,1495.69,67.07,120.1,11,54294.24,1.28,292174.48
244,South Indian,Standalone,498.0,1230.21,61.62,70.2,33,9976.71,3.27,379645.53
245,Chinese,High Street,330.2,189.32,91.09,31.2,29,98745.66,3.67,222329.2
246,Continental,Mall,184.5,731.77,78.45,45.3,37,89155.0,3.85,251126.53
247,South Indian,Standalone,483.0,999.72,82.42,115.3,12,74987.65,3.92,366724.38
248,Continental,Mall,199.8,558.62,33.79,83.2,39,93030.69,3.95,222968.55
249,Fast Food,Food Court,190.9,913.75,25.85,69.8,37,50489.08,2.41,230653.34
250,Fast Food,Airport,376.1,545.11,70.28,119.8,10,54336.99,1.46,260424.78
251,Chinese,Airport,348.7,298.01,87.51,12.9,39,43582.69,1.32,208690.4
252,North Indian,Mall,146.7,520.46,93.48,109.7,24,36332.35,3.29,179380.67
253,Fast Food,Mall,164.8,1136.06,65.28,47.9,21,91929.62,2.84,288078.59
254,Continental,Airport,387.6,369.4,36.5,10.8,36,62936.26,2.53,227777.77
255,Fast Food,Standalone,476.5,569.28,69.36,104.9,12,4193.59,2.06,258101.46
256,Fast Food,Mall,460.4,1258.13,46.47,19.9,31,21267.81,3.45,362418.78
257,North Indian,High Street,316.5,173.82,18.12,114.8,17,71881.9,2.61,200110.18
258,Fast Food,Food Court,342.7,608.59,62.5,44.2,30,46631.22,3.12,245382.63
259,Fast Food,Standalone,157.7,581.84,26.05,44.8,36,23520.5,1.48,165503.9
260,South Indian,Airport,383.9,1136.42,18.72,79.1,13,79675.07,1.35,335978.12
261,Fast Food,Mall,220.8,1488.97,6.09,93.7,20,24521.96,2.01,331573.68
262,South Indian,Food Court,341.6,996.87,79.48,109.2,24,3730.05,3.95,291932.79
263,Chinese,Airport,289.2,1040.68,53.36,53.5,37,8979.73,4.53,275683.85
264,Continental,High Street,260.7,835.75,48.51,20.1,35,55397.21,3.17,271837.83
265,Continental,Standalone,65.8,212.45,91.5,48.2,7,14898.28,4.4,98985.55
266,Chinese,High Street,114.6,1405.31,94.89,23.8,30,76428.72,4.47,312546.24
267,Chinese,Standalone,330.9,732.74,89.81,69.4,17,86257.44,1.48,261094.49
268,Italian,Food Court,400.0,801.85,33.91,100.2,30,96980.95,2.28,331726.6
269,Italian,Airport,339.7,166.77,55.0,81.0,16,93080.77,3.5,198382.84
270,Continental,Airport,140.6,460.24,4.12,37.1,32,55579.62,1.57,159066.71
271,Italian,Food Court,299.0,251.42,98.64,10.9,23,76318.64,4.33,182528.77
272,Italian,High Street,170.0,1053.4,56.29,81.0,8,93486.18,3.63,296098.56
273,Italian,High Street,159.7,229.95,72.2,112.5,13,32273.62,3.7,127145.52
274,Chinese,Airport,93.1,222.49,16.96,131.6,13,23782.06,3.68,103896.12
275,Chinese,Airport,238.6,274.56,68.3,89.1,7,93226.27,4.63,193067.92
276,North Indian,Standalone,405.7,1445.71,53.35,122.6,25,27457.18,1.43,369658.68
277,South Indian,Airport,81.2,970.41,99.03,87.8,9,13529.96,2.71,208958.37
278,Continental,Food Court,175.8,1421.45,2.54,75.8,28,20695.32,4.56,309381.66
279,North Indian,High Street,394.1,808.24,3.4,108.2,27,81354.62,4.59,309007.68
280,Chinese,High Street,150.4,1474.33,31.67,40.3,12,51944.77,3.31,320604.1
281,Continental,Mall,256.0,698.44,6.5,80.1,20,35492.33,3.4,241246.34
282,Continental,Mall,177.8,894.04,52.85,107.5,18,49629.71,2.66,229404.97
283,North Indian,High Street,63.0,835.75,52.27,123.4,25,34359.04,3.62,209720.94
284,South Indian,Airport,212.7,872.88,18.49,16.6,37,79532.54,1.94,253837.95
285,North Indian,Food Court,157.6,386.7,52.56,35.9,32,66566.48,2.96,160366.68
286,Fast Food,Food Court,352.1,1137.77,72.84,79.6,12,7520.88,4.07,300903.39
287,Italian,High Street,305.1,1301.47,37.71,120.2,28,28165.01,2.1,329129.7
288,Continental,High Street,492.4,995.99,30.63,142.6,21,19320.01,1.64,348334.1
289,Chinese,Mall,486.3,1030.85,64.95,29.6,19,83947.15,1.99,365497.72
290,Chinese,Food Court,453.1,1198.26,97.06,18.7,21,39557.79,3.69,392700.29
291,Fast Food,Mall,110.8,1159.14,85.77,123.2,23,99448.35,2.46,283787.21
292,North Indian,Food Court,204.5,1275.06,28.71,28.4,8,68702.38,4.99,307407.88
293,South Indian,Mall,73.6,1011.91,74.88,10.0,18,99448.29,4.23,237835.61
294,South Indian,Standalone,55.7,1413.35,5.21,133.7,37,11073.66,3.76,269022.22
295,South Indian,Airport,271.5,532.35,29.56,54.4,8,51120.67,2.96,212083.97
296,North Indian,Standalone,363.1,1297.42,45.54,66.2,28,19922.64,4.65,339652.17
297,Fast Food,Food Court,450.6,708.42,82.52,22.3,25,48057.83,4.91,264774.0
298,Chinese,Standalone,77.8,756.26,60.77,31.6,16,8273.87,1.32,163981.88
299,North Indian,Mall,86.8,1254.01,53.51,49.4,22,22831.04,3.9,259218.19
300,North Indian,Standalone,107.5,904.14,18.42,101.2,31,8524.03,2.15,200525.0
301,Chinese,High Street,184.9,603.82,56.78,39.7,36,10281.44,2.23,186871.71
302,Fast Food,Food Court,274.7,387.03,75.74,131.5,14,24279.83,4.56,185101.52
303,Fast Food,Airport,247.4,1306.43,65.89,93.7,38,46097.98,3.23,340951.12
304,Italian,Airport,137.8,284.68,34.76,52.0,33,51786.96,2.75,142762.21
305,Chinese,Airport,136.3,305.95,16.84,136.0,30,13573.75,1.08,110679.43
306,Fast Food,Food Court,351.5,1048.63,95.33,144.3,15,77790.15,1.62,347540.81
307,Chinese,Airport,322.2,1079.1,39.4,112.3,22,18121.16,1.21,288625.59
308,Chinese,Food Court,408.0,392.52,38.28,64.8,22,41233.42,1.95,224760.67
309,Continental,High Street,77.5,1255.31,82.47,58.1,14,73798.64,3.62,285982.3
310,South Indian,Food Court,298.9,634.65,10.82,85.4,28,76455.66,1.28,239159.92
311,North Indian,Food Court,137.0,814.74,83.57,45.0,34,15002.42,1.89,198952.66
312,South Indian,High Street,58.6,835.75,10.46,104.7,7,64597.2,2.72,195203.33
313,Continental,Airport,164.5,204.38,0.27,111.3,30,17346.2,3.36,110300.09
314,Italian,High Street,86.5,526.84,26.59,14.0,8,68021.29,1.19,142058.1
315,Fast Food,Food Court,90.5,512.48,70.19,104.6,28,73776.55,3.64,185391.59
316,Chinese,Standalone,184.1,1058.35,80.79,40.2,7,62946.44,3.09,259761.22
